Dealership Name,Address,City,State,Zip,Telephone ,Website,Repair,Towing Service,Parts Department
Beatrice Auto Sales,1124 Court St. ,Beatrice,NE,68310,402-520-8069,https://beatriceautosales.com/,No,No,No
Twin Rivers,529 W. Court,Beatrice,NE,68310,844-633-1777,,Yes,No,Yes
Premiew Chevrolet Buick GMC Beatrice,206 S 6th St,Beatrice,NE,68310,531-282-3227,https://www.premiergmbeatrice.com,Yes,No,Yes
Zoellner Ford,4115 N 6th St,Beatrice,NE,68310,402-520-8065,https://www.zoellnerfordofbeatrice.com,Yes,No,Yes
Corwin Toyota of Bellevue,7851 South 19th Circle,Bellevue,NE,68147,402-509-5355,https://www.corwintoyotaofbellevue.com,Yes,No,Yes
Unisell Auto,808 Alberta Ave.,Bellevue,NE,68005,402-983-8901,https://www.unisellauto.com,No,No,No
Woodhouse Chrysler Dodge Jeep Ram of Bellevue,7713 S 19th Circle,Bellevue,NE,68417,402-819-6367,https://www.woodhousecdjrbellevue.com,Yes,No,Yes
Woodhouse Mazda,7845 Nebraska Dr. ,Bellevue,NE,68005,402-979-9226,https://www.woodhousemazda.com,Yes,No,Yes
Woodhouse Nissan Bellevue,7801 Nebraska Drive,Bellevue,NE,68005,402-408-3533,https://www.woodhousenissan.com,Yes,No,Yes
Country Auto,2750 S 23rd Ave.,Blair,NE,68008,844-369-5255,https://www.countryautoblair.com,Yes,No,No
Woodhouse Chrysler Jeep Dodge RAM Blair,2171 S Hwy 30,Blair,NE,68008,833-443-3890,https://www.woodhousechryslerjeepdodge.com,Yes,No,Yes
Woodhouse Ford,2546 S Hwy 30,Blair,NE,68008,833-568-4661,https://www.woodhousefordblair.com,Yes,No,Yes
Sid Dillon Chevrolet Crete,2455 East Highway 33,Crete,NE,68333,402-418-3550,https://www.siddilloncrete.org,Yes,No,Yes
Sid Dillon Ford,2375 E. Highway 33,Crete,NE,68333,402-418-3563,https://www.siddillonfordlincoln.com,Yes,No,Yes
Sid Dillon Chrysler Dodge Jeep Ram,2385 E. Highway 33,Crete,NE,68333,402-418-3559,https://www.siddillonchryslerdodgejeepram.com,Yes,No,Yes
Harvest Auto and Machinery (Main Street),1510 S. Main St. ,Fremont,NE,68025,402-983-8392,https://www.driveharvest.com,No,No,No
Sid Dillon Mazda Fremont,2424 E 23rd St. ,Fremont,NE,68025,402-704-6927,https://www.siddillonmazda.com,Yes,No,Yes
Anderson Chrysler Dodge Jeep Ram of Grand Island,1803 S Locust St.,Grand Island,NE,68801,308-675-7443,https://www.andersoncdjrofgrandisland.com,Yes,Yes,Yes
Anderson Ford Of Grand Island,120 N Diers Ave,Grand Island,NE,68803,308-321-8168,https://www.andersonofgrandisland.com,Yes,Yes,Yes
Dinsdale Chevrolet Cadillac,2800 Osborne Dr. E,Hastings,NE,68901,402-463-3104,http://grandislandchevroletgmc.com/,Yes,No,Yes
Hohlen Motors,200 W. 70th St.,Hastings,NE,68901,402-463-6303,https://www.hohlenmotorsrd.com,No,No,No
Jerry Spady Chevrolet GMC Cadillac,2750 Osborne Dr. E,Hastings,NE,68901,402-463-4000,https://www.spadygm.com,Yes,No,Yes
Shade's Classic Corner Cars,1016 S Burlington Ave,Hastings,NE,68901,402-463-5577,https://www.shadesclassiccars.com,No,No,No
Hajny Auto Sales,1007 S Elm Ave,Hastings,NE,68901,402-463-2636,https://www.hajnyautosales.com,No,No,No
Jackson Car Corner Inc.,315 W. 3rd St,Hastings,NE,68901,402-463-0688,https://www.jacksonscarcorner.com,No,No,No
Scott Spady Motor Sales,1519 N. Saint Joseph Ave.,Hastings,NE,68901,402-834-3322,https://www.scottspady.com,No,No,No
Lanny Carlson Motors,6110 2nd Ave.,Kearney,NE,68847,308-371-0402,https://www.lannycarlsonmotors.com,No,No,No
Platte Valley Auto-Kearney,4210 2nd Ave.,Kearney,NE,68847,844-448-7651,https://www.plattevalleyauto.com,Yes,No,Yes
Kenesaw Motor Company,119 W Maple St.,Kenesaw,NE,68956,402-752-0040,https://www.kenesawmotorco.com,Yes,Yes,Yes
Anderson Ford Of Lincoln South,3201 Yankee Hill Road,Lincoln,NE,68516,402-781-5170,https://www.andersonoflincoln.com,Yes,No,Yes
Anderson Mazda of Lincoln,6500 Telluride Dr.,Lincoln,NE,68521,402-782-4225,https://www.andersonmazdalincoln.com,Yes,No,Yes
BMW of Lincoln,6701 Telluride Drive,Lincoln,NE,68521,402-937-8210,https://www.bmwoflincoln.com,Yes,No,Yes
Dillon's Auto,6401 N 28th St,Lincoln,NE,68504,402-817-6502,https://www.dillonsauto.com,Yes,No,Yes
DuTeau Chevrolet Subaru,7300 S 27th St,Lincoln,NE,68512,402-413-6837,https://www.duteauchevrolet.com,Yes,No,Yes
Honda of Lincoln,2770 Yankee Hill Rd.,Lincoln,NE,68510,402-817-6708,https://www.hondaoflincoln.com,Yes,No,Yes
Husker Auto Group,6833 Telluride Dr,Lincoln,NE,68521,402-784-1167,http://www.huskerchevrolet.com/,Yes,No,Yes
Husker Auto Group,6701 Telluride Dr,Lincoln,NE,68521,402-261-0751,https://www.huskermercedes.com,Yes,No,Yes
M&M Auto Sales,1840 Cornhusker Hwy.,Lincoln,NE,68521,402-413-6237,https://www.mmautosaleslincoln.com,Yes,No,Yes
Meyer Automotive Inc,3203 W. O St. ,Lincoln,NE,68521,531-530-5789,https://www.meyernobull.com,Yes,Yes,No
"Murphy Motors, Inc.",616 W Cornhusker Highway,Lincoln,NE,68521,402-413-8178,https://murphymotorslincoln.com/,No,No,No
Pacific Auto Inc,122 West O Street,Lincoln,NE,68528,402-858-2984,https://pacificautolincoln.com/,No,No,No
PricedRite Auto,1235 West O St,Lincoln,NE,68528,402-261-7221,https://www.fastandeasyauto.com/pricedrite_auto_sales_in_lincoln_ne/,No,No,No
Sid Dillon CDJR Fiat of Lincoln,6601 Telluride Drive,Lincoln,NE,68521,531-248-4195,https://www.siddilloncdjrlincoln.com,Yes,No,Yes
Dave's Used Cars,71124 Road 390,Mc Cook,NE,69001,308-364-2200,https://www.davesusedcarsales.com,No,No,No
Deveny Motors,401 E B St,Mc Cook,NE,69001,308-345-5200,https://www.devenychryslerjeepdodge.com,Yes,No,Yes
Janssen-Kool Honda,711 W C St,Mc Cook,NE,69001,308-345-3600,https://automobiles.honda.com/,Yes,No,Yes
Wagner Chevrolet Buick,201 E B St,Mc Cook,NE,69001,402-665-0506,https://www.drivewagner.com,Yes,No,Yes
Wagner Ford,211 W 2nd St,Mc Cook,NE,69001,877-361-3673,https://www.drivewagner.com,Yes,No,Yes
Wagner Toyota,211 W 2nd St,Mc Cook,NE,69001,308-345-2350,https://www.wagner-toyota.com/,Yes,No,Yes
Jerry Remus Chevrolet-Cad Llc,3801 S Jeffers,North Platte,NE,69101,308-532-7400,https://www.jerryremus.com,Yes,No,Yes
"Jody's Auto Sales, Inc.",4 S Jeffers St,North Platte,NE,69101,308-221-7751,https://www.jodysautosales.com,No,No,No
Alfa Romeo of Omaha,6611 L St.,Omaha,NE,68117,402-509-7157,https://www.alfaromeoomaha.com,No,No,No
Auto World of Omaha,337 S 72nd St.,Omaha,NE,68114,800-690-0429,https://www.autoworldomaha.com,Yes,No,No
AutoValley,6211 L St.,Omaha,NE,68117,402-578-0364,https://www.theautovalley.com,No,No,No
Bentley Omaha,225 N 170th St.,Omaha,NE,68118,402-885-4527,https://www.bentleywestomaha.com,Yes,Yes,Yes
Edwards Chrysler Dodge Jeep RAM FIAT West Omaha,17950 Burt St.,Omaha,NE,68118,402-819-6381,https://www.edwardsvillagepointecdjr.com,Yes,No,Yes
Gateway Auto - Car Sales Center,4629 South 108th St,Omaha,NE,68137,402-281-1367,https://www.gatewayautosalesomaha.com,Yes,No,No
Genesis of Southwest Omaha,8410 S 145th St.,Omaha,NE,68138,402-983-8786,https://www.southwestomahagenesis.com,Yes,No,Yes
"Greenline Motors, LLC",4505 S 84th St,Omaha,NE,68127,402-401-4892,https://www.greenlinemotorsllc.com,No,No,No
H & H Kia,4040 S 84th St,Omaha,NE,68127,402-331-9100,https://www.hhkia.com,Yes,Yes,Yes
H & R Auto Sales,5504 Center St.,Omaha,NE,68106,402-913-9015,https://www.handrcars.com,No,No,No
Huber Automotive,11102 W. Dodge Rd.,Omaha,NE,68154,402-496-0220,https://www.huberchevrolet.com,Yes,No,Yes
Lexus of Omaha,13025 W. Dodge Rd. ,Omaha,NE,68154,402-333-6400,https://www.lexusofomaha.com/,Yes,No,Yes
Mercedes-Benz of Omaha,14335 Hillsdale Ave.,Omaha,NE,68137,402-384-9999,https://www.omahamercedes.com,Yes,No,Yes
O'Daniel Honda,123 Beverly Dr.,Omaha,NE,68114,402-819-0818,https://www.odanielhonda.com,Yes,No,Yes
Old Mill Toyota,601 N 108th Cir.,Omaha,NE,68154,402-496-4444,http://www.villagepointetoyota.com/,Yes,No,Yes
ONYX Automotive,14800 Branch St.,Omaha,NE,68154,402-513-1509,https://www.onyxautomotive.com,Yes,No,Yes
Optimus Auto LLC,8914 L St.,Omaha,NE,68127,402-979-9419,https://www.optimusauto.com/,No,No,No
Porsche Omaha,18101 Burt St.,Omaha,NE,68022,402-415-0470,https://www.porscheomaha.com,Yes,No,Yes
SLM Auto Exchange,2933 Keystone Dr.,Omaha,NE,68134,402-819-4493,https://slmautocare.com/,Yes,No,No
T's Auto & Truck Sales,6002 Q St.,Omaha,NE,68117,402-590-8460,https://www.tsautoandtrucks.com,No,No,No
The Internet Car Lot,7150 P Cir.,Omaha,NE,68117,402-682-7498,https://www.theinternetcarlot.com,No,No,No
