name,operator,brand,address,housenumber,street,city,state,postcode,lat,lon,phone,website,opening_hours,fee,access,capacity,max_power_kw,connectors,connector_types,osm_type,osm_id,osm_url
Bellevue City,,ChargePoint,"Wall Street, Bellevue, Nebraska 68005",,Wall Street,Bellevue,Nebraska,68005,41.143294,-95.912585,,,,,public,2,,J1772 x2,J1772,node,4582026831,https://www.openstreetmap.org/node/4582026831
Bellevue University Chargepoint,Update case of ChargePoint,,"1000 Galvin Road South, Bellevue, Nebraska 68005",1000,Galvin Road South,Bellevue,Nebraska,68005,41.1521057,-95.9205212,,,24/7,yes,public,2,,J1772 x2,J1772,node,4582020716,https://www.openstreetmap.org/node/4582020716
Blink,Blink,Blink,"Central Avenue, Kearney, Nebraska 68849",,Central Avenue,Kearney,Nebraska,68849,40.6746848,-99.0828473,,,,yes,yes,2,,CCS Type 1 x2,CCS Type 1,node,13973750735,https://www.openstreetmap.org/node/13973750735
ChargePoint,ChargePoint,ChargePoint,"Saint Augustine's Street, Thurston County, Nebraska 68071",,Saint Augustine's Street,Thurston County,Nebraska,68071,42.2424502,-96.4747403,,,,,public,2,,J1772 x2,J1772,node,3649900573,https://www.openstreetmap.org/node/3649900573
ChargePoint,ChargePoint,ChargePoint,"East 1st Street, Ogallala, Nebraska 69153",,East 1st Street,Ogallala,Nebraska,69153,41.1257035,-101.714995,,,,,public,2,,J1772 x1; NEMA 5-20 (120V) x1,J1772; NEMA 5-20 (120V),node,3687480055,https://www.openstreetmap.org/node/3687480055
ChargePoint,ChargePoint,ChargePoint,"Wehrspann Lake Trail, Richland VIII Precinct, Nebraska 68138",,Wehrspann Lake Trail,Richland VIII Precinct,Nebraska,68138,41.1714117,-96.1557833,,,,no,public,2,,J1772 x2,J1772,node,5217689780,https://www.openstreetmap.org/node/5217689780
ChargePoint,ChargePoint,ChargePoint,"Nebraska Crossing Drive, Gretna, Nebraska 68028",,Nebraska Crossing Drive,Gretna,Nebraska,68028,41.0995321,-96.2457811,,,,,public,2,,J1772 x2,J1772,node,5260978025,https://www.openstreetmap.org/node/5260978025
ChargePoint,ChargePoint,ChargePoint,"101-147 South 13th Street, Ashland 68003",101-147,South 13th Street,Ashland,,68003,41.0387275,-96.3669935,,,,yes,yes,2,,CCS Type 2 x1; CHAdeMO x1; J1772 x2; Type3 x1,CCS Type 2; CHAdeMO; J1772; Type3,node,5263178187,https://www.openstreetmap.org/node/5263178187
ChargePoint,ChargePoint,ChargePoint,"Central Avenue, Nebraska City, Nebraska 68410",,Central Avenue,Nebraska City,Nebraska,68410,40.6766399,-95.8638883,,,,no,yes,1,,J1772 x2,J1772,node,5338175806,https://www.openstreetmap.org/node/5338175806
ChargePoint,ChargePoint,ChargePoint,"East 2nd Street, Chadron, Nebraska 69337",,East 2nd Street,Chadron,Nebraska,69337,42.8310765,-102.999874,,,24/7,yes,public,2,,J1772 x2,J1772,node,8258165589,https://www.openstreetmap.org/node/8258165589
ChargePoint,ChargePoint,ChargePoint,"West Highway 4, Gage County, Nebraska",,West Highway 4,Gage County,Nebraska,,40.2854403,-96.825065,,,,yes,yes,2,,J1772 x2,J1772,node,8833081763,https://www.openstreetmap.org/node/8833081763
