name,brand,operator,stock_type,address,housenumber,street,city,state,postcode,lat,lon,phone,website,opening_hours,services,osm_type,osm_id,osm_url
A&B Auto Sales,,,Used only,"3441 Adams Street, Lincoln, NE 68504",3441,Adams Street,Lincoln,NE,68504,40.8423482,-96.671009,+1-402-435-6444,https://www.abautosalesus.com/,Mo-Su 08:00-18:00,,way,1371898000,https://www.openstreetmap.org/way/1371898000
Acura of Omaha,,,Both new & used,"4211 South 144th Street, Omaha, NE 68137",4211,South 144th Street,Omaha,NE,68137,41.218102,-96.1376083,,,"Mo-Th 08:30-21:00, Fr-Sa 08:30-18:00",,way,454950145,https://www.openstreetmap.org/way/454950145
Air Cowboy Collectible Cars,,,,"East 2nd Street, Hickman, Nebraska 68372",,East 2nd Street,Hickman,Nebraska,68372,40.6202553,-96.633264,,,,,node,12128919813,https://www.openstreetmap.org/node/12128919813
Al's Auto Sales,,,,"2018 West Old Lincoln Highway, Grand Island, NE 68803",2018,West Old Lincoln Highway,Grand Island,NE,68803,40.9181629,-98.3620765,,,,,way,549579186,https://www.openstreetmap.org/way/549579186
Alenander Motors,,,,"East 3rd Street, Superior, Nebraska 68978",,East 3rd Street,Superior,Nebraska,68978,40.0191559,-98.0690219,,,,,node,11226101615,https://www.openstreetmap.org/node/11226101615
AM Motors,,,Used only,"Harrison Street, Omaha, Nebraska 68128",,Harrison Street,Omaha,Nebraska,68128,41.1905443,-95.9775611,,,,,way,1182281998,https://www.openstreetmap.org/way/1182281998
American Auto Mart,,,,"5202 Center Street, Omaha, NE 68106",5202,Center Street,Omaha,NE,68106,41.2411332,-95.9956374,,,,,way,806248589,https://www.openstreetmap.org/way/806248589
Anderson Ford South,Ford,,,"3201 Yankee Hill Road, Lincoln, NE 68516",3201,Yankee Hill Road,Lincoln,NE,68516,40.7257586,-96.6749669,+15312485279,https://www.andersonfordsouth.com,"Mo-Tu, Th 09:00-19:00; We, Fr 09:00-18:00; Sa 09:00-17:00",,node,4231283976,https://www.openstreetmap.org/node/4231283976
"Anderson Ford, Lincoln",Ford,,Both new & used,"2500 Wildcat Drive, Lincoln, NE 68521",2500,Wildcat Drive,Lincoln,NE,68521,40.8821075,-96.6837924,+1-402-600-0651,https://www.andersonfordlincoln.com,,New Car Sales; General repairs; Used Car Sales,node,5187548637,https://www.openstreetmap.org/node/5187548637
"Anderson Industrial Engines Co., Inc.",,,,"5542 Center Street, Omaha, NE 68106",5542,Center Street,Omaha,NE,68106,41.2382913,-95.99966,+1-800-747-1438,https://ai-engines.com/,,Engine,way,806248575,https://www.openstreetmap.org/way/806248575
Anderson Mazda of Lincoln,Mazda,,Both new & used,"6500 Telluride Drive, Lincoln, NE 68521",6500,Telluride Drive,Lincoln,NE,68521,40.8772051,-96.6829504,+1-402-817-5203,,,New Car Sales; Used Car Sales,node,5187548647,https://www.openstreetmap.org/node/5187548647
Archer Perdue Suzuki,,,,"S Street, Omaha, Nebraska 68137",,S Street,Omaha,Nebraska,68137,41.2032245,-96.1355145,,,,,way,602240251,https://www.openstreetmap.org/way/602240251
Arnie's Ford,,,,"East 3rd Street, Wayne, Nebraska 68787",,East 3rd Street,Wayne,Nebraska,68787,42.2311774,-97.0168181,,,,,node,3789965985,https://www.openstreetmap.org/node/3789965985
Arnie's Used Cars,,,Used only,"Logan Street, Wayne, Nebraska 68787",,Logan Street,Wayne,Nebraska,68787,42.2317871,-97.0167349,,,,,node,3789965984,https://www.openstreetmap.org/node/3789965984
Arnies Ford & Mercury,,,,"East 7th Street, Wayne, Nebraska 68787",,East 7th Street,Wayne,Nebraska,68787,42.2351811,-97.0173974,,,,,node,3790047425,https://www.openstreetmap.org/node/3790047425
Atlas Auto Sales,,,Used only,"5545 Cornhusker Highway, Lincoln, NE 68504",5545,Cornhusker Highway,Lincoln,NE,68504,40.8564861,-96.6444393,+1-402-347-4982,https://www.atlasautosalesne.com/,Mo-Sa 10:00-19:00; Su 12:30-19:00,,way,1134332022,https://www.openstreetmap.org/way/1134332022
Audi Omaha,Audi,,,"17340 Burt Street, Omaha, NE 68118",17340,Burt Street,Omaha,NE,68118,41.2648807,-96.1856875,+1-402-951-9284,,,,node,7087455809,https://www.openstreetmap.org/node/7087455809
Auto Central,,,,"North Grant Street, Grand Island, Nebraska 68802",,North Grant Street,Grand Island,Nebraska,68802,40.9158127,-98.3628229,,,,,node,3818179096,https://www.openstreetmap.org/node/3818179096
Auto Outlet,,,,"2924 South Locust Street, Grand Island, NE 68801",2924,South Locust Street,Grand Island,NE,68801,40.8924468,-98.3402897,,,,,node,3818179274,https://www.openstreetmap.org/node/3818179274
Auto World,,,Used only,"337 South 72nd Street, Omaha, Nebraska 68114",337,South 72nd Street,Omaha,Nebraska,68114,41.2562238,-96.0234203,,,,,node,12075873843,https://www.openstreetmap.org/node/12075873843
Auto World,,,,"337 South 72nd Street, Omaha, Nebraska 68114",337,South 72nd Street,Omaha,Nebraska,68114,41.256224,-96.0234054,,,,,way,185938484,https://www.openstreetmap.org/way/185938484
B & D Auto Sales,,,Used only,"4820 Cornhusker Highway, Lincoln, NE 68504",4820,Cornhusker Highway,Lincoln,NE,68504,40.8530301,-96.6526944,+1-402-464-4279,https://bd-auto.com/,Mo-Fr 08:00-18:00; Sa 09:00-18:00,Used Car Sales,way,660675129,https://www.openstreetmap.org/way/660675129
Bauerkemper's,,,,"Highway 20, Chadron, Nebraska 69337",,Highway 20,Chadron,Nebraska,69337,42.8290878,-103.0140808,,,,,way,463924124,https://www.openstreetmap.org/way/463924124
