name,brand,shop_type,address,housenumber,street,city,state,postcode,lat,lon,phone,website,opening_hours,services,is_chain,available_24_7,osm_type,osm_id,osm_url
A-1 Auto Parts,,car_parts,"2501 Polk Street, Omaha, NE 68107",2501,Polk Street,Omaha,NE,68107,41.1916209,-95.9483303,+1-402-733-7333,https://www.a-1autopartsomaha.net/,Mo-Fr 08:00-17:00; Sa 08:00-13:00,,False,False,node,5798894630,https://www.openstreetmap.org/node/5798894630
Advance Auto Parts,Advance Auto Parts,car_parts,"506 East 25th Street, Kearney 68847",506,East 25th Street,Kearney,,68847,40.7007651,-99.0742062,,https://stores.advanceautoparts.com/ne/kearney/506-e-25th-st,Mo-Sa 07:30-21:00; Su 09:00-20:00,,True,False,node,1632093795,https://www.openstreetmap.org/node/1632093795
Advance Auto Parts,Advance Auto Parts,car_parts,"850 North Saddle Creek Road, Omaha, Nebraska 68132",850,North Saddle Creek Road,Omaha,Nebraska,68132,41.2673278,-95.9823509,,https://stores.advanceautoparts.com/ne/omaha/850-n-saddle-creek-rd,,,True,False,node,1977406553,https://www.openstreetmap.org/node/1977406553
Advance Auto Parts,Advance Auto Parts,car_parts,"East 17th Street, South Sioux City, Nebraska 68776",,East 17th Street,South Sioux City,Nebraska,68776,42.473475,-96.4131645,,https://stores.advanceautoparts.com/ne/south-sioux-city/1700-dakota-ave,,,True,False,node,2540294197,https://www.openstreetmap.org/node/2540294197
Advance Auto Parts,Advance Auto Parts,car_parts,"8448 West Center Road, Omaha, NE 68124",8448,West Center Road,Omaha,NE,68124,41.2347451,-96.0447223,,https://stores.advanceautoparts.com/ne/omaha/8448-w-center-rd,,,True,False,node,7274600141,https://www.openstreetmap.org/node/7274600141
Advance Auto Parts,Advance Auto Parts,car_parts,"2101 South 10th Street, Lincoln, NE 68502",2101,South 10th Street,Lincoln,NE,68502,40.7914407,-96.7077418,+1-402-742-0334,https://stores.advanceautoparts.com/ne/lincoln/2101-s-10th-st,Mo-Sa 07:30-21:00; Su 09:00-20:00,,True,False,node,10816650440,https://www.openstreetmap.org/node/10816650440
Advance Auto Parts,Advance Auto Parts,car_parts,"3800 Old Cheney Road, Lincoln, NE 68516",3800,Old Cheney Road,Lincoln,NE,68516,40.756603,-96.6647232,+1-402-420-9860,https://stores.advanceautoparts.com/ne/lincoln/3800-old-cheney-rd,Mo-Sa 07:30-21:00; Su 09:00-20:00,,True,False,node,11013433964,https://www.openstreetmap.org/node/11013433964
Advance Auto Parts,Advance Auto Parts,car_parts,"3420 South 143rd Plaza, Omaha, Nebraska 68144",3420,South 143rd Plaza,Omaha,Nebraska,68144,41.2266173,-96.1377543,,https://stores.advanceautoparts.com/ne/omaha/3420-s-143rd-plz,,,True,False,way,170820553,https://www.openstreetmap.org/way/170820553
Advance Auto Parts,Advance Auto Parts,car_parts,"1220 South Jeffers Street, North Platte, Nebraska 69103",1220,South Jeffers Street,North Platte,Nebraska,69103,41.122898,-100.7644911,,,,,True,False,way,490931127,https://www.openstreetmap.org/way/490931127
Advance Auto Parts,Advance Auto Parts,car_parts,"North Lincoln Avenue, Fremont, Nebraska 68025",,North Lincoln Avenue,Fremont,Nebraska,68025,41.4521721,-96.4776212,,https://stores.advanceautoparts.com/ne/fremont/1624-e-23rd-ave-n,,,True,False,way,505448850,https://www.openstreetmap.org/way/505448850
Advance Auto Parts,Advance Auto Parts,car_parts,"23rd Street, Columbus, Nebraska 68601",,23rd Street,Columbus,Nebraska,68601,41.4384028,-97.3609069,,https://stores.advanceautoparts.com/ne/columbus/2269-28th-ave,,,True,False,way,520446008,https://www.openstreetmap.org/way/520446008
Advance Auto Parts,Advance Auto Parts,car_parts,"Evans Street, Omaha, Nebraska 68116",,Evans Street,Omaha,Nebraska,68116,41.2913868,-96.183453,,https://stores.advanceautoparts.com/ne/omaha/17140-evans-plz,,,True,False,way,937899411,https://www.openstreetmap.org/way/937899411
Advance Auto Parts,Advance Auto Parts,car_parts,"3100 Cornhusker Highway, Lincoln, NE 68504",3100,Cornhusker Highway,Lincoln,NE,68504,40.8432083,-96.6748654,+1-402-465-8188,https://stores.advanceautoparts.com/ne/lincoln/3100-cornhusker-hwy,Mo-Sa 07:30-21:00; Su 09:00-20:00,,True,False,way,992029315,https://www.openstreetmap.org/way/992029315
Arnold Motor Supply,,car_parts,"South 4th Street, Albion, Nebraska 68620",,South 4th Street,Albion,Nebraska,68620,41.6915984,-98.0009131,,,,,True,False,way,1530494127,https://www.openstreetmap.org/way/1530494127
