name,shop_type,address,housenumber,street,city,state,postcode,lat,lon,phone,website,opening_hours,services,is_transmission_specialist,osm_type,osm_id,osm_url
308 Mobile Truck Auto & Tire Repair,car_repair,"517 Platte View Drive, Ogallala, NE 69153",517,Platte View Drive,Ogallala,NE,69153,41.1278456,-101.7359911,+1-308-352-6516,https://308mobilerepair.com,24/7,,False,node,11204753627,https://www.openstreetmap.org/node/11204753627
AAMCO,car_repair,"5254 South 133rd Court, Omaha, NE 68137",5254,South 133rd Court,Omaha,NE,68137,41.2041622,-96.1227033,+1-402-983-8693,https://www.aamco-omahawest.com/,Mo-Fr 7:30-18:00,Inspection; Oil change; Transmission,False,way,184102297,https://www.openstreetmap.org/way/184102297
AAMCO,car_repair,,,,,,,41.2118269,-96.0065563,,,,Transmission,True,way,932227290,https://www.openstreetmap.org/way/932227290
AAMCO Transmissions and Total Car Care,car_repair,"3645 Adams Street, Lincoln, NE 68504",3645,Adams Street,Lincoln,NE,68504,40.8422769,-96.6682598,+1-402-281-1266,https://www.aamcolincolnne.com/,Mo-Th 07:30-17:30; Fr 07:30-17:00,Transmission,True,way,1371731765,https://www.openstreetmap.org/way/1371731765
ABC Auto Glass of Omaha,car_repair,"6823 South 36th Street, Omaha, NE 68107",6823,South 36th Street,Omaha,NE,68107,41.191035,-95.9672254,+1-402-734-9000,https://abcglassomaha.com/,Mo-Fr 09:00-19:00; Sa 10:00-16:00,,False,node,6673886026,https://www.openstreetmap.org/node/6673886026
Acutek Auto Repair,car_repair,,,,,,,40.7735984,-96.7109029,,,,,False,node,2248703130,https://www.openstreetmap.org/node/2248703130
Adams Auto Service,car_repair,"1440 North Cotner Boulevard, Lincoln, NE 68505",1440,North Cotner Boulevard,Lincoln,NE,68505,40.8277197,-96.630126,+1-402-466-2691,https://adamsautoserviceinc.com/,Mo-Fr 08:00-17:00,A/C; Alignment; Batteries; Brakes; Car Parts; General repairs; Diagnostics; Electrical; Motor; Oil change; Transmission; Transmission Repair; Tires,False,way,1280978315,https://www.openstreetmap.org/way/1280978315
AGC Repair & Welding LLC,car_repair,"580 Ashland Road, Ashland, NE 68003",580,Ashland Road,Ashland,NE,68003,41.0456405,-96.403324,+1-402-521-9519,https://agcrepair.com/,Mo-Fr 08:00-17:00,,False,node,7527818764,https://www.openstreetmap.org/node/7527818764
All Star Customs,car_repair,,,,,,,41.8598587,-103.6444038,,,,Body work; Painting,False,way,1238928223,https://www.openstreetmap.org/way/1238928223
America Glass,car_repair,"1913 Vinton Street, Omaha, NE 68108",1913,Vinton Street,Omaha,NE,68108,41.2316246,-95.9413675,,,,Glass,False,node,13354298132,https://www.openstreetmap.org/node/13354298132
American Auto Repair,car_repair,"112 South McKenna Avenue, Gretna, NE 68028",112,South McKenna Avenue,Gretna,NE,68028,41.1393141,-96.2479799,,,,,False,node,6415419933,https://www.openstreetmap.org/node/6415419933
Anderson Mazda of Lincoln Service Center,car_repair,"6500 Telluride Drive, Lincoln, NE 68521",6500,Telluride Drive,Lincoln,NE,68521,40.8773096,-96.6825509,+1-402-817-5203,,,Alignment; Batteries; Brakes; General repairs; Diagnostics; Muffler; Oil change; Tires,False,node,5203385082,https://www.openstreetmap.org/node/5203385082
Andy's Auto Service,car_repair,"3408 South 36th Street, Omaha, NE 68105",3408,South 36th Street,Omaha,NE,68105,41.2272129,-95.966571,+1 402 556 6666,,,,False,node,8732652244,https://www.openstreetmap.org/node/8732652244
Andy's Truck & Auto Repair,car_repair,,,,,,,40.6207979,-96.6320481,,,,,False,node,12128919818,https://www.openstreetmap.org/node/12128919818
Ari Auto Repair,car_repair,"1640 North Cotner Boulevard, Lincoln, NE 68505",1640,North Cotner Boulevard,Lincoln,NE,68505,40.829607,-96.6300575,+1-402-413-0303,,Mo-Sa 08:00-18:00,General repairs; Oil change,False,way,1301172740,https://www.openstreetmap.org/way/1301172740
Arnie's Ford,car_repair,,,,,,,42.230947,-97.0168181,,,,,False,node,3789965982,https://www.openstreetmap.org/node/3789965982
Ashland Auto Service & Repair,car_repair,"1309 Silver Street, Ashland, NE 68003",1309,Silver Street,Ashland,NE,68003,41.0388019,-96.3674984,+1-402-944-6044,,Mo-Fr 08:00-17:00,,False,way,804786897,https://www.openstreetmap.org/way/804786897
Atlas Auto Repair,car_repair,"4952 South 36th Street, Omaha, NE 68107-2548",4952,South 36th Street,Omaha,NE,68107-2548,41.2093369,-95.9674087,+1-402-889-0330,https://www.driveatlasauto.com/,Mo-Fr 08:30-17:30,General repairs,False,node,13808285671,https://www.openstreetmap.org/node/13808285671
Audi Omaha,car_repair,"17340 Burt Street, Omaha, NE 68118",17340,Burt Street,Omaha,NE,68118,41.2653708,-96.185811,+1-402-951-9284,,,,False,node,7087448082,https://www.openstreetmap.org/node/7087448082
Auto body Authority,car_repair,,,,,,,41.1599432,-95.9672593,,,,,False,node,4666376792,https://www.openstreetmap.org/node/4666376792
Auto Docs,car_repair,,,,,,,40.5335825,-96.6086173,,,,,False,way,761273817,https://www.openstreetmap.org/way/761273817
Auto Glass Center,car_repair,,,,,,,40.9158775,-98.3622543,,,,,False,node,3818179120,https://www.openstreetmap.org/node/3818179120
Auto Glass Solutions,car_repair,"2303 West Michigan Avenue, 68701",2303,West Michigan Avenue,,,68701,42.0214977,-97.4434029,+1-402-750-9077,http://www.autoglasssolutionsne.org/,,,False,node,13894785102,https://www.openstreetmap.org/node/13894785102
Auto MAX,car_repair,"Saint Marys Avenue, Omaha",,Saint Marys Avenue,Omaha,,,41.2546392,-95.9402699,+1-402-884-3824,,,,False,node,7198846131,https://www.openstreetmap.org/node/7198846131
Auto Specialists,car_repair,,,,,,,41.2338464,-96.0415475,,,,,False,way,267432795,https://www.openstreetmap.org/way/267432795
Auto Works Service & Repair,car_repair,,,,,,,41.8688171,-103.6759529,,,,,False,way,558040680,https://www.openstreetmap.org/way/558040680
Autoglass Now,car_repair,"2911 O Street, Lincoln, NE 68510",2911,O Street,Lincoln,NE,68510,40.8131722,-96.6793186,+1-402-904-4500,,Mo-Fr 08:00-17:00,,False,node,13714468050,https://www.openstreetmap.org/node/13714468050
Autographix,car_repair,,,,,,,41.1988043,-96.0024852,,,,,False,node,5678885592,https://www.openstreetmap.org/node/5678885592
Autographix,car_repair,"4522 South 108th Street, Omaha, NE 68137",4522,South 108th Street,Omaha,NE,68137,41.2134232,-96.0821865,+1 402 884-4090,https://autographixne.com,,,False,node,8821838090,https://www.openstreetmap.org/node/8821838090
Autographix,car_repair,"4522 South 108th Street, Omaha, NE 68137",4522,South 108th Street,Omaha,NE,68137,41.2135069,-96.0821578,+1-402-884-4090,https://autographixne.com,,,False,way,948544952,https://www.openstreetmap.org/way/948544952
Autosounds of Lincoln,car_repair,"4720 O Street, Lincoln, NE 68510",4720,O Street,Lincoln,NE,68510,40.8137849,-96.6546168,+1-402-466-4400,https://www.autosoundsoflincoln.com/,Mo-Th 09:00-18:00; Fr 09:00-17:30; Sa 09:00-16:00,,False,node,11181912843,https://www.openstreetmap.org/node/11181912843
B G & S Transmissions,car_repair,"4911 Superior Street, Lincoln, NE 68504",4911,Superior Street,Lincoln,NE,68504,40.8566552,-96.6514933,+1-402-435-3637,,Mo-Fr 07:30-17:00,Transmission; Transmission Repair,True,way,660675149,https://www.openstreetmap.org/way/660675149
